iteration,n,duration
1,1,0.05546736717224121
2,1,0.11905550956726074
3,1,0.1765134334564209
4,1,0.23604655265808105
5,1,0.28998255729675293
6,1,0.3490748405456543
7,1,0.40532565116882324
8,1,0.46294116973876953
9,1,0.5206060409545898
10,1,0.5892982482910156
11,1,0.6585938930511475
12,1,0.720038652420044
13,1,0.7793948650360107
14,1,0.8533756732940674
15,1,0.9224147796630859
16,1,0.9951250553131104
17,1,1.048567533493042
18,1,1.116978406906128
19,1,1.1818788051605225
20,1,1.2459354400634766
21,1,1.3088741302490234
22,1,1.3752098083496094
23,1,1.4453456401824951
24,1,1.506777048110962
25,1,1.574706792831421
26,1,1.635286569595337
27,1,1.7020025253295898
28,1,1.7640833854675293
29,1,1.8231747150421143
30,1,1.8919124603271484
31,1,1.962285041809082
32,1,2.0280303955078125
33,1,2.085360527038574
34,1,2.1447994709014893
35,1,2.205427885055542
36,1,2.2825088500976562
37,1,2.3481669425964355
38,1,2.4134023189544678
39,1,2.48675537109375
40,1,2.5565340518951416
41,1,2.63242244720459
42,1,2.69027042388916
43,1,2.747662305831909
44,1,2.803638219833374
45,1,2.873842716217041
46,1,2.9340808391571045
47,1,2.998873233795166
48,1,3.062701463699341
49,1,3.113316297531128
50,1,3.1767895221710205
51,1,3.2506515979766846
52,1,3.3117105960845947
53,1,3.37678599357605
54,1,3.436656951904297
55,1,3.500316619873047
56,1,3.5737411975860596
57,1,3.6491291522979736
58,1,3.7070183753967285
59,1,3.7699384689331055
60,1,3.835587501525879
61,1,3.9080560207366943
62,1,3.971919298171997
63,1,4.045003652572632
64,1,4.119128227233887
65,1,4.183382749557495
66,1,4.252904415130615
67,1,4.318641662597656
68,1,4.38837742805481
69,1,4.448792457580566
70,1,4.5101540088653564
71,1,4.5730977058410645
72,1,4.630634784698486
73,1,4.689766883850098
74,1,4.757673501968384
75,1,4.83202862739563
76,1,4.887052297592163
77,1,4.9475085735321045
78,1,5.008491516113281
79,1,5.078896522521973
80,1,5.146830797195435
81,1,5.206840991973877
82,1,5.265590667724609
83,1,5.325011730194092
84,1,5.397104263305664
85,1,5.4618189334869385
86,1,5.525155067443848
87,1,5.603407382965088
88,1,5.666569232940674
89,1,5.733484745025635
90,1,5.79330039024353
91,1,5.850021123886108
92,1,5.903288125991821
93,1,5.964972257614136
94,1,6.032648324966431
95,1,6.0987021923065186
96,1,6.183945178985596
97,1,6.262792348861694
98,1,6.320281505584717
99,1,6.392347812652588
100,1,6.452931642532349
101,1,6.511147499084473
102,1,6.5760838985443115
103,1,6.641891241073608
104,1,6.708606004714966
105,1,6.775295257568359
106,1,6.833062171936035
107,1,6.9088263511657715
108,1,6.980401039123535
109,1,7.042790651321411
110,1,7.09584379196167
111,1,7.15947961807251
112,1,7.234803915023804
113,1,7.299049139022827
114,1,7.37475848197937
115,1,7.436505317687988
116,1,7.497167587280273
117,1,7.563599348068237
118,1,7.61524772644043
119,1,7.688495635986328
120,1,7.755364179611206
121,1,7.830990314483643
122,1,7.891088485717773
123,1,7.949225664138794
124,1,8.004664421081543
125,1,8.06684398651123
126,1,8.142382621765137
127,1,8.204998254776001
128,1,8.267177104949951
129,1,8.330310344696045
130,1,8.409061670303345
131,1,8.486735343933105
132,1,8.557207107543945
133,1,8.699329614639282
134,1,8.753565788269043
135,1,8.812416076660156
136,1,8.870573997497559
137,1,8.94048285484314
138,1,9.004698276519775
139,1,9.055902242660522
140,1,9.110773801803589
141,1,9.183713436126709
142,1,9.265714645385742
143,1,9.329379081726074
144,1,9.469916105270386
145,1,9.52666711807251
146,1,9.585774898529053
147,1,9.652210474014282
148,1,9.714442253112793
149,1,9.77293086051941
150,1,9.83173155784607
151,1,9.885329961776733
152,1,9.943495273590088
153,1,10.006514072418213
154,1,10.1101815700531
155,1,10.170509576797485
156,1,10.22732949256897
157,1,10.335352897644043
158,1,10.398979902267456
159,1,10.448894739151001
160,1,10.505451202392578
161,1,10.561790227890015
162,1,10.626725435256958
163,1,10.68698239326477
164,1,10.751517295837402
165,1,10.985436201095581
166,1,11.077020406723022
167,1,11.16698670387268
168,1,11.263878583908081
169,1,11.327540397644043
170,1,12.132918357849121
171,1,12.927098512649536
172,1,13.79519534111023
173,1,14.598832130432129
174,1,14.753706693649292
175,1,14.8296377658844
176,1,14.899303197860718
177,1,15.566974401473999
178,1,15.727190494537354
179,1,16.439009428024292
180,1,16.580212593078613
181,1,16.648077964782715
182,1,16.720757007598877
183,1,16.775595664978027
184,1,16.902200937271118
185,1,16.97524380683899
186,1,17.060855388641357
187,1,17.134802103042603
188,1,17.20980930328369
189,1,17.409910917282104
190,1,17.493672847747803
191,1,17.563511848449707
192,1,17.633090019226074
193,1,17.696492433547974
194,1,17.838815450668335
195,1,17.90110731124878
196,1,17.971733331680298
197,1,18.051947832107544
198,1,18.123241424560547
199,1,18.183619737625122
200,1,18.334264278411865
201,1,18.39943265914917
202,1,18.462708473205566
203,1,18.588891983032227
204,1,18.65653133392334
205,1,18.721409797668457
206,1,18.784054279327393
207,1,18.846186637878418
208,1,18.896671772003174
209,1,18.960490465164185
210,1,19.01236319541931
211,1,19.150755405426025
212,1,19.209962606430054
213,1,19.26396656036377
214,1,19.315336227416992
215,1,19.364505767822266
216,1,19.417468309402466
217,1,19.46926760673523
218,1,19.520606994628906
219,1,19.58032488822937
220,1,19.633406162261963
221,1,19.759693384170532
222,1,19.902336597442627
223,1,19.954755067825317
224,1,20.00691270828247
225,1,20.058486938476562
226,1,20.112644910812378
227,1,20.173020362854004
228,1,20.253437757492065
229,1,20.310904026031494
230,1,20.370338916778564
231,1,20.4283230304718
232,1,20.515141487121582
233,1,20.64775776863098
234,1,20.775473833084106
235,1,20.84123945236206
236,1,20.90550136566162
237,1,20.970699071884155
238,1,21.036755800247192
239,1,21.110027313232422
240,1,21.17975425720215
241,1,21.819133520126343
242,1,21.955921173095703
243,1,22.69815421104431
244,1,22.860776901245117
245,1,22.92772674560547
246,1,22.99779987335205
247,1,23.05419158935547
248,1,23.116825342178345
249,1,23.1784610748291
250,1,23.235807418823242
251,1,23.302109956741333
252,1,23.364420413970947
253,1,23.427055835723877
254,1,23.496723413467407
255,1,23.55921483039856
256,1,23.62326192855835
